event_id,quote_id,event_type,actor_role,actor_id,timestamp,days_since_submission,comment_text,approver_ooo_flag
EVT-00216,Q-2025-00049,Resubmitted,AE,AE-021,2025-04-07T00:00:00,7,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00217,Q-2025-00050,Submitted,AE,AE-039,2025-01-22T00:00:00,0,,False
EVT-00218,Q-2025-00050,Rejected,First Approver,APPR-006,2025-01-24T00:00:00,2,Year-1 ACV is 43% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00219,Q-2025-00050,Resubmitted,AE,AE-039,2025-01-30T00:00:00,8,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00220,Q-2025-00051,Submitted,AE,AE-029,2025-03-28T00:00:00,0,,False
EVT-00221,Q-2025-00051,Approved,First Approver,APPR-001,2025-03-30T00:00:00,2,,False
EVT-00222,Q-2025-00051,Approved,First Approver,APPR-001,2025-04-04T00:00:00,7,,False
EVT-00223,Q-2025-00051,Approved,First Approver,APPR-001,2025-04-04T00:00:00,7,,False
EVT-00224,Q-2025-00051,Approved,First Approver,APPR-001,2025-04-06T00:00:00,9,,False
EVT-00225,Q-2025-00052,Submitted,AE,AE-005,2025-03-31T00:00:00,0,,False
EVT-00226,Q-2025-00053,Submitted,AE,AE-035,2025-03-31T00:00:00,0,,False
EVT-00227,Q-2025-00053,Approved,First Approver,APPR-008,2025-04-03T00:00:00,3,,False
EVT-00228,Q-2025-00053,Comment Added,First Approver,APPR-008,2025-04-04T00:00:00,5,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00229,Q-2025-00053,Rejected,First Approver,APPR-008,2025-04-09T00:00:00,9,Year-1 ACV is 37% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00230,Q-2025-00054,Submitted,AE,AE-042,2025-03-29T00:00:00,0,,False
EVT-00231,Q-2025-00054,Rejected,First Approver,APPR-003,2025-04-03T00:00:00,5,Business justification for discount >35% is absent. Attach margin analysis.,False
EVT-00232,Q-2025-00055,Submitted,AE,AE-020,2025-03-30T00:00:00,0,,False
EVT-00233,Q-2025-00055,Rejected,First Approver,APPR-002,2025-04-05T00:00:00,6,,False
EVT-00234,Q-2025-00055,Approved,First Approver,APPR-002,2025-04-05T00:00:00,6,,False
EVT-00235,Q-2025-00056,Submitted,AE,AE-028,2025-03-31T00:00:00,0,,False
EVT-00236,Q-2025-00058,Submitted,AE,AE-017,2025-04-17T00:00:00,0,,False
EVT-00237,Q-2025-00058,Approved,First Approver,APPR-007,2025-04-20T00:00:00,3,,False
EVT-00238,Q-2025-00059,Submitted,AE,AE-018,2025-04-01T00:00:00,0,,False
EVT-00239,Q-2025-00059,Approved,First Approver,APPR-003,2025-04-04T00:00:00,3,,False
EVT-00240,Q-2025-00060,Submitted,AE,AE-015,2025-03-31T00:00:00,0,,False
EVT-00241,Q-2025-00060,Approved,First Approver,APPR-009,2025-04-05T00:00:00,5,,False
EVT-00242,Q-2025-00061,Submitted,AE,AE-021,2025-04-26T00:00:00,0,,False
EVT-00243,Q-2025-00061,Approved,First Approver,APPR-005,2025-05-01T00:00:00,5,,False
EVT-00244,Q-2025-00061,Rejected,First Approver,APPR-005,2025-05-03T00:00:00,7,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00245,Q-2025-00062,Submitted,AE,AE-005,2025-05-06T00:00:00,0,,False
EVT-00246,Q-2025-00063,Submitted,AE,AE-004,2025-03-31T00:00:00,0,,False
EVT-00247,Q-2025-00063,Rejected,First Approver,APPR-005,2025-04-07T00:00:00,7,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00248,Q-2025-00064,Submitted,AE,AE-013,2025-03-30T00:00:00,0,,False
EVT-00249,Q-2025-00064,Rejected,First Approver,APPR-001,2025-04-04T00:00:00,5,,False
EVT-00250,Q-2025-00064,Approved,First Approver,APPR-001,2025-04-04T00:00:00,5,,False
EVT-00251,Q-2025-00065,Submitted,AE,AE-014,2025-03-31T00:00:00,0,,False
EVT-00252,Q-2025-00065,Approved,First Approver,APPR-008,2025-04-04T00:00:00,4,,False
EVT-00253,Q-2025-00066,Submitted,AE,AE-005,2025-04-07T00:00:00,0,,False
EVT-00254,Q-2025-00066,Approved,First Approver,APPR-009,2025-04-12T00:00:00,5,,False
EVT-00255,Q-2025-00066,Rejected,First Approver,APPR-009,2025-04-16T00:00:00,9,,False
EVT-00256,Q-2025-00066,Rejected,First Approver,APPR-009,2025-04-18T00:00:00,11,,False
EVT-00257,Q-2025-00066,Approved,First Approver,APPR-009,2025-04-19T00:00:00,12,,False
EVT-00258,Q-2025-00067,Submitted,AE,AE-036,2025-02-07T00:00:00,0,,False
EVT-00259,Q-2025-00067,Approved,First Approver,APPR-008,2025-02-13T00:00:00,6,,False
EVT-00260,Q-2025-00068,Submitted,AE,AE-003,2025-04-27T00:00:00,0,,False
EVT-00261,Q-2025-00068,Approved,First Approver,APPR-005,2025-05-01T00:00:00,4,,False
EVT-00262,Q-2025-00069,Submitted,AE,AE-040,2025-02-06T00:00:00,0,,False
EVT-00263,Q-2025-00070,Submitted,AE,AE-013,2025-03-21T00:00:00,0,,False
EVT-00264,Q-2025-00073,Submitted,AE,AE-031,2025-04-26T00:00:00,0,,False
EVT-00265,Q-2025-00074,Submitted,AE,AE-005,2025-02-18T00:00:00,0,,False
EVT-00266,Q-2025-00074,Rejected,First Approver,APPR-001,2025-02-24T00:00:00,6,,False
EVT-00267,Q-2025-00074,Comment Added,First Approver,APPR-001,2025-02-21T00:00:00,5,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00268,Q-2025-00074,Rejected,First Approver,APPR-001,2025-02-27T00:00:00,9,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00269,Q-2025-00074,Resubmitted,AE,AE-005,2025-02-26T00:00:00,8,Addressed reviewer comments. Resubmitting for approval.,False
EVT-00270,Q-2025-00075,Submitted,AE,AE-005,2025-03-28T00:00:00,0,,False
EVT-00271,Q-2025-00075,Rejected,First Approver,APPR-004,2025-04-04T00:00:00,7,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00272,Q-2025-00076,Submitted,AE,AE-004,2025-02-05T00:00:00,0,,False
EVT-00273,Q-2025-00076,Rejected,First Approver,APPR-009,2025-02-10T00:00:00,5,,False
EVT-00274,Q-2025-00076,Rejected,First Approver,APPR-009,2025-02-11T00:00:00,6,,False
EVT-00275,Q-2025-00076,Approved,First Approver,APPR-009,2025-02-11T00:00:00,6,,False
EVT-00276,Q-2025-00077,Submitted,AE,AE-021,2025-03-21T00:00:00,0,,False
EVT-00277,Q-2025-00077,Approved,First Approver,APPR-005,2025-03-25T00:00:00,4,,False
EVT-00278,Q-2025-00077,Approved,First Approver,APPR-005,2025-03-28T00:00:00,7,,False
EVT-00279,Q-2025-00078,Submitted,AE,AE-025,2025-04-11T00:00:00,0,,False
EVT-00280,Q-2025-00078,Comment Added,First Approver,APPR-008,2025-04-12T00:00:00,2,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00281,Q-2025-00078,Approved,First Approver,APPR-008,2025-04-15T00:00:00,4,,False
EVT-00282,Q-2025-00078,Rejected,First Approver,APPR-008,2025-04-16T00:00:00,5,DHI-C-007 flag is open. SSP allocation required for this deal structure before approval.,False
EVT-00283,Q-2025-00079,Submitted,AE,AE-034,2025-03-28T00:00:00,0,,False
EVT-00284,Q-2025-00079,Rejected,First Approver,APPR-002,2025-03-30T00:00:00,2,,False
EVT-00285,Q-2025-00079,Approved,First Approver,APPR-002,2025-04-04T00:00:00,7,,False
EVT-00286,Q-2025-00080,Submitted,AE,AE-019,2025-01-31T00:00:00,0,,False
EVT-00287,Q-2025-00081,Submitted,AE,AE-027,2025-01-31T00:00:00,0,,False
EVT-00288,Q-2025-00082,Submitted,AE,AE-014,2025-02-13T00:00:00,0,,False
EVT-00289,Q-2025-00083,Submitted,AE,AE-028,2025-03-30T00:00:00,0,,False
EVT-00290,Q-2025-00083,Comment Added,First Approver,APPR-002,2025-04-02T00:00:00,4,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00291,Q-2025-00083,Rejected,First Approver,APPR-002,2025-04-04T00:00:00,5,,False
EVT-00292,Q-2025-00083,Rejected,First Approver,APPR-002,2025-04-06T00:00:00,7,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00293,Q-2025-00084,Submitted,AE,AE-005,2025-03-31T00:00:00,0,,False
EVT-00294,Q-2025-00085,Submitted,AE,AE-033,2025-04-03T00:00:00,0,,False
EVT-00295,Q-2025-00085,Comment Added,First Approver,APPR-002,2025-04-05T00:00:00,3,Year-1 ACV is 30% of total contract value. Phasing rule requires minimum 50%. Adjust phasing.,False
EVT-00296,Q-2025-00085,Approved,First Approver,APPR-002,2025-04-08T00:00:00,5,,False
EVT-00297,Q-2025-00085,Comment Added,First Approver,APPR-002,2025-04-07T00:00:00,6,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
EVT-00298,Q-2025-00085,Rejected,First Approver,APPR-002,2025-04-10T00:00:00,7,,False
EVT-00299,Q-2025-00085,Comment Added,First Approver,APPR-002,2025-04-12T00:00:00,10,Auto-attached AI unit (NX-AI-CAP-STD) must have explicit customer acceptance documented.,False
EVT-00300,Q-2025-00085,Rejected,First Approver,APPR-002,2025-04-17T00:00:00,14,SSP for Consumption line not documented. Required for ASC 606 compliance. Attach SSP schedule.,False
